State,bidenAdvantage
Vermont,35.412652274731386
South Carolina,-11.680205814678457
Indiana,-16.067911853503446
Kentucky,-25.951939707558054
Georgia,0.28095023988319867
Virginia,10.12905398779806
West Virginia,-38.942967771840856
North Carolina,-1.347973225519128
Ohio,-8.165771459429788
Massachusetts,32.734904159925414
Alabama,-25.57192952075847
Florida,-3.358368897061803
Delaware,18.98077419098827
Maryland,32.60535801737884
District of Columbia,86.63727740783142
New Hampshire,7.368609477495891
Mississippi,-18.54113971544437
Rhode Island,20.709031506886653
Maine,9.971297293653997
New Jersey,15.75666405509803
Oklahoma,-33.08709751207632
Pennsylvania,1.1908405716707815
Illinois,16.579656432979796
Connecticut,20.034409177535135
Missouri,-15.579660075553525
Tennessee,-23.296958138247604
Arkansas,-27.62870472527301
New York,14.261329149597673
North Dakota,-33.357286377995635
Colorado,13.504626140411336
Michigan,2.6767004994151633
Kansas,-15.151499254307405
Nebraska,-19.081471379897426
Minnesota,7.115530300712408
Texas,-5.655315235090436
New Mexico,10.78726638144562
Wisconsin,0.6236667663401307
Wyoming,-43.382653153397285
Louisiana,-18.609425612482315
Arizona,0.3088446163365455
South Dakota,-26.16413753611495
Utah,-20.490270291346725
Montana,-16.311837791256284
Nevada,2.390534632724617
Iowa,-8.208563593178974
Idaho,-30.76711303095753
Oregon,16.15803468061015
California,29.47506121853889
Washington,19.383518918182542
UNITED STATES,3.7208594025855857
Hawaii,29.472038388344206
Alaska,-10.160155434039247
